barbara,vienne
mercedes-sosa,alfonsina-y-el-mar
mexican-traditional,la-bamba
michael-buble,you-ll-never-find-another-love-like-mine
michael-buble,something-stupid
michael-buble,the-christmas-song
michael-buble,you-don-t-know-me
michael-buble,sway
michael-buble,quando-quando-quando
michael-buble,let-it-snow-let-it-snow-let-it-snow
michael-buble,the-way-you-look-tonight
michael-buble,feeling-good
michael-buble,cry-me-a-river
michel-leeb,j-aime-paris-au-mois-de-mai
michel-polnareff,goodbye-marylou
michel-telo,ai-se-eu-te-pego
mina,la-voce-del-silenzio
mylene-farmer,sans-contrefacon
nancy-sinatra,these-boots-are-made-for-walkin
nat-king-cole,autumn-leaves
nat-king-cole,unforgettable
nat-king-cole,l-o-v-e
nat-king-cole,the-christmas-song
nat-king-cole,when-i-fall-in-love
natalie-cole,when-i-fall-in-love
neil-diamond,hello-again
neil-diamond,love-on-the-rocks
neil-young,four-strong-winds
niagara,quand-la-ville-dort
nina-hagen,du-hast-den-farbfilm-vergessen
nina-simone,my-baby-just-cares-for-me
nina-simone,i-love-you-porgy
nirvana,smells-like-teen-spirit
noir-desir,le-vent-nous-portera
notre-dame-de-paris,tu-vas-me-detruire
nursery-rhyme,twinkle-twinkle-little-star
olivia-ruiz,j-envoie-valser
pascal-obispo,l-important-c-est-d-aimer
pat-travers,snortin-whiskey
patrick-bruel,j-te-l-dis-quand-meme
patrick-bruel,mon-amant-de-st-jean
patrick-bruel,casser-la-voix
patrick-fiori,elles
pearl-jam,alive
peggy-lee,fever
pink,just-give-me-a-reason
pistol-annies,hell-on-heels
pur,geweint-vor-gluck
rafael-martos-sanchez,mi-gran-noche
rage-against-the-machine,killing-in-the-name
ralph-mctell,streets-of-london
renaud,mistral-gagnant
ricardo-arjona,fuiste-tu
ricchi-e-poveri,sara-perche-ti-amo
richard-cocciante,le-coup-de-soleil
richard-marx,right-here-waiting
rihanna,stay
rio-reiser,fur-immer-und-dich
robbie-williams,somethin-stupid
roberto-alagna,piensa-en-mi
rod-stewart,as-time-goes-by
rod-stewart,i-m-in-the-mood-for-love
ron-pope,a-drop-in-the-ocean
ronan-keating,we-ve-got-tonight
rufus-wainwright,hallelujah
salvatore-adamo,les-filles-du-bord-de-mer
santana,black-magic-woman
sara-bareilles,gravity
sarah-mclachlan,angel
seether,broken
serge-reggiani,le-barbier-de-belleville
shakin-stevens,marie-marie
steppenwolf,born-to-be-wild
steve-earle,copperhead-road
stevie-ray-vaughan,pride-and-joy
stevie-wonder,isn-t-she-lovely
stone-temple-pilots,plush
sublime,saw-red
sublime,santeria
sugarland,stay
survivor,eye-of-the-tiger
susan-tedeschi,it-hurt-so-bad
telephone,cendrillon
the-andrews-sisters,alexander-s-ragtime-band
the-animals,house-of-the-rising-sun
the-aristocats,everybody-wants-to-be-a-cat
the-beatles,yesterday
the-beatles,a-day-in-the-life
the-beatles,roll-over-beethoven
the-black-crowes,hard-to-handle
the-blues-brothers,sweet-home-chicago
the-four-aces,peg-o-my-heart
the-georgia-satellites,keep-your-hands-to-yourself
the-popettes,lullaby-of-broadway
the-sound-of-music,edelweiss
the-sound-of-music,my-favorite-things
tracy-chapman,fast-car
traditional,danny-boy
